active_calories,active_time,activity_type,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,distance,duration_min,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,steps,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_2,unknown_253,unknown_3,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(60, 153, 172, 65, 1, 0, 104, 105, 52, 0, 0, 231, 4, 188, 9, 173, 65, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(60, 153, 172, 65, 1, 1, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,104,,,,,,,,,,,,,39228,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(16, 0, 0, 248)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,1101830520,,,,,,,,
,,,,,,,,,,,,,,,103,,,,,,,,,,,,,39288,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(6, 24, 157, 185)",,,,,,,,,
3,115.0,walking,"(38,)",39.5,,,,,,,,,,,,1,,,,,,,,,,,,39288,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29 16:03:00,-2,,,,,,,102,,7,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,1101830580,,,,,,,,
,,,,,,,5,5,,,,41,marker,,,,,,,,,,,,,,2024-11-29 16:03:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(254, 181, 90, 192)",,,,,,,,,
2,60.0,generic,"(192,)",0.0,,,,,,,,,,,,6,,,,,,,,,,,,39348,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29 16:04:00,-2,,,,,,,102,,7,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,1101830640,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(34, 0, 0, 248)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(152, 255, 63, 224)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(108, 143, 0, 208)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(90, 52, 0, 208)",,,,,,,,,
5,175.0,walking,"(38,)",53.0,,,,,,,,,,,,1,,,,,,,,,,,,39408,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29 16:05:00,-2,,,,,,,102,,7,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434,,,1101830700,,,,,,,,
,,,,,,,,,,,,,,,105,,,,,,,,,,,,,39468,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(254, 0, 0, 192)",,,,,,,,,
,,sedentary,"(200,)",,,,,,,,,,,,,6,,,,,,,,,,,2024-11-29 16:05:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29 16:06:00,85,,,,,,,-80,,7,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200,,,1101830760,,,,,,,,
,,,,,,,,,,,,,,,97,,,,,,,,,,,,,39528,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(6, 124, 153, 185)",,,,,,,,,
,,sedentary,"(8,)",,,,,,,,,,,,,0,,,,,,,,,,,2024-11-29 16:06:00,,,,,,,,,,,,,,
,,,,,,,,,,,on,,,,,,,,,,,,,,,,,,,,,,1101830760,,,,,,,,
2,60.0,generic,,0.0,,,,,0.0,6,,,,,,,,,,,,,,,,,2024-11-29 16:06:00,,,,,,,,,,,,,,
5,175.0,walking,,,,,,,84.4,6,,,,,,,,,,,,,106,,,,2024-11-29 16:06:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29 16:06:00,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,56,,1101830760,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(119, 154, 172, 65, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(119, 154, 172, 65, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
